<wordnet_philosopher_110423589>	<wordnet_existentialist_110071557>	<influences>
# <wikicategory_Association_football_goalkeepers>	<wordnet_team_108208560>	<isAffiliatedTo>
# <wordnet_paleontologist_110394786>	<wordnet_economy_108366753>	<isCitizenOf>
# <wordnet_editor_110044879>	<wordnet_economy_108366753>	<isCitizenOf>
# <wordnet_sovereign_110628644>	<wordnet_consort_109958724>	<isMarriedTo>
# <wordnet_singer_110599806>	<wordnet_area_108497294>	<wasBornIn>
# <wikicategory_Italian_footballers>	<wordnet_association_108049401>	<isAffiliatedTo>
# <wordnet_scientist_110560637>	<wordnet_economy_108366753>	<livesIn>
# <wordnet_head_110162991>	<wordnet_university_108286569>	<graduatedFrom>
# <wikicategory_Actors_from_London>	<wordnet_area_108497294>	<wasBornIn>
# <wordnet_player_110439851>	<wikicategory_National_sports_teams_of_Canada>	<isAffiliatedTo>
# <wordnet_athlete_109820263>	<wordnet_economy_108366753>	<isCitizenOf>
# <wordnet_soldier_110622053>	<wikicategory_Courage_awards>	<hasWonPrize>
# <wikicategory_SS_officers>	<wikicategory_Military_awards_and_decorations_of_Germany_(Wehrmacht)>	<hasWonPrize>
# <wordnet_philosopher_110423589>	<wordnet_psychiatrist_110488016>	<influences>
# <wikicategory_American_country_singers>	<wordnet_song_107048000>	<created>
# <wikicategory_Expatriate_footballers_in_Latvia>	<wordnet_club_108227214>	<isAffiliatedTo>
